Item,Item Description,Item Type,Item Category
412,Har Gao,Side,"Dimsum,Seafood"
413,SPRING ROLL,Side,"Dimsum,Pork"
414,Chicken Feet,Side,"Dimsum,Chicken"
418,BBQ Pork Bun,Side,"Dimsum,Pork"
450,Chicken In A Basket(3PCS),Side,"Dimsum,Chicken"
451,Chicken In A Basket(5PCS),Side,"Dimsum,Chicken"
501,LuncheonMeatSoup Ndl,Main,"Noodlesoup,Pork"
503,Spy P.Dices Soup Ndl,Main,"Noodlesoup,Pork"
507,Ham & Egg Soup Ndl,Main,"Noodlesoup,Pork"
509,Braised Beef Brisket Soup Noodles,Main,"Noodlesoup,Beef"
521,VEGETARIAN HOR FUN,Main,"Noodle,Vegetarian"
522,VEGETARIAN RAMEN,Main,"Noodle,Vegetarian"
545,Chicken Floss Egg Fried Rice,Main,"Friedrice,Chicken"
546,Diced Pork Fried Rice,Main,"Friedrice,Pork"
548,Sambal Seafood Fried Rice,Main,"Friedrice,Seafood"
549,Signature Fried Rice,Main,"Friedrice,Pork,Seafood,Chicken"
552,Mango Pomelo,Dessert,"Dessert,Cold"
553,Mango SnowIce,Dessert,"Dessert,Cold"
555,Red Bean Snow,Dessert,"Dessert,Cold"
556,Watermelon 'N' Jelly,Dessert,"Dessert,Cold"
560,Coffee-Tea Snow Ice,Dessert,"Dessert,Cold"
607,Chye Poh N Floss Dry Noodles,Main,"Noodle,Pork"
608,CHICKEN CHOP EGG DRY NOODLE,Main,"Noodle,Chicken"
631,Seafood Muifan,Main,"Rice,Seafood"
632,Fish Slice Muifan,Main,"Rice,Fish"
701,Chinese Tea,Beverage,"Drink,Hot"
702,Milo,Beverage,"Drink,Hot"
704,Fresh Soy Milk,Beverage,"Drink,Hot"
705,Kopi,Beverage,"Drink,Hot"
709,Teh,Beverage,"Drink,Hot"
713,Hot Coffee-Tea,Beverage,"Drink,Hot"
715,Milk Tea,Beverage,"Drink,Hot"
717,Hot Honey Green Tea,Beverage,"Drink,Hot"
718,Hot Honey with Lemon,Beverage,"Drink,Hot"
720,Yuzu Tea,Beverage,"Drink,Hot"
722,LEMON COKE,Beverage,"Drink,Hot"
751,Iced Milk Tea,Beverage,"Drink,Cold"
753,Iced Coffee-Tea,Beverage,"Drink,Cold"
758,Iced Soy Milk,Beverage,"Drink,Cold"
761,Ice Milo Dinosaur,Beverage,"Drink,Cold"
765,Fresh  Lime Juice,Beverage,"Drink,Cold"
766,Iced Honey Green Tea,Beverage,"Drink,Cold"
767,Iced Lychee Tea,Beverage,"Drink,Cold"
768,Iced Peach Tea,Beverage,"Drink,Cold"
769,Iced Lemon Tea,Beverage,"Drink,Cold"
776,Watermelon Ice-Blended,Beverage,"Drink,Cold"
780,Iced Grass Jelly,Beverage,"Drink,Cold"
781,Lychee Ice-blended,Beverage,"Drink,Cold"
782,Peach Ice-blended,Beverage,"Drink,Cold"
783,Iced Coffee-Tea Float,Beverage,"Drink,Cold"
784,Iced Milk Tea Float,Beverage,"Drink,Cold"
791,Iced Yuzu Tea,Beverage,"Drink,Cold"
793,COKE FLOAT,Beverage,"Drink,Cold"
794,ICED MILO FLOAT,Beverage,"Drink,Cold"
795,SOUR PLUM COKE,Beverage,"Drink,Cold"
797,RAINBOW SPRITE,Beverage,"Drink,Cold"
808,Chicken Dry Curry Ramen,Main,"Noodle,Chicken"
809,F'mented Pork Dry Curry Ramen,Main,"Noodle,Chicken"
810,SMOKED DUCK DRY CURRY RAMEN,Main,"Noodle,Duck"
818,Belacan 4 S.Bean,Side,"Vegetable,Seafood"
820,Minced Kai Lan W Silver Fish,Side,"Vegetable,Seafood"
821,Paoched Lettuce,Side,"Vegetable,Vegetarian"
854,Sesame Cream Glutinous Ball,Dessert,"Dessert,Cold"
855,AlmondCream Glutinous Ball,Dessert,"Dessert,Cold"
857,Home-Made Cold Beancurd,Dessert,"Dessert,Cold"
859,SOY MILK WITH GLUTINOUS BALL,Dessert,"Dessert,Cold"
863,Beancurd w Mango,Dessert,"Dessert,Cold"
902,Pork N Century Egg Congee,Main,"Porridge,Pork"
903,Sampan Congee,Main,"Porridge,Seafood"
904,Fish Slice Por,Main,"Porridge,Fish"
906,Spicy Pork Por,Main,"Porridge,Pork"
909,Sliced Empress Congee,Main,"Porridge,Seafood"
941,LUNCHEON MEAT (2pcs),Side,"Addons,Pork"
943,WHITE RICE,Side,"Addons,Vegetarian"
1108,Chix Wing Japanese Sesame Sauce,Side,"Fingerfood,Chicken"
1109,Chix Wing Honey Sweet Sauce,Side,"Fingerfood,Chicken"
1110,Chix Wing Home-made Sour 'N' Spicy Powde,Side,"Fingerfood,Chicken"
1132,Iced Lemon Tea,Beverage,"Drink,Cold"
1134,Iced Grass Jelly,Beverage,"Drink,Cold"
1135,Soup of the Day,Soup,Soup
1136,Fruit Jelly Pudding,Dessert,"Dessert,Cold"
1137,Chix Wing Nachos Cheese,Side,"Fingerfood,Chicken"
1154,Hot Coffee-Tea,Beverage,"Drink,Hot"
1175,Homemade Cold Beancurd,Dessert,"Dessert,Cold"
1201,Seafood Ee Noodle,Main,"Noodle,Seafood"
1210,Chix Wing BP,Side,"Fingerfood,Chicken"
1211,Spicy Sour Fries,Side,"Fingerfood,Vegetarian"
1216,Chicken Hot Pot Rice,Main,"Rice,Chicken"
1217,Fermented Pork Dry Noodle,Main,"Noodle,Pork"
1227,Kaya Butter Bread + Kopi,Side,"Bread,Savoury"
1232,Fried Wanton 3pcs,Side,"Fingerfood,Seafood"
1263,Pumpkin Chix Chop Rice,Main,"Rice,Chicken"
1283,Deep Fried Prawn (3pcs),Side,"Fingerfood,Seafood"
1285,Iced Lemon Tea,Beverage,"Drink,Cold"
1286,Coke Float (Promo),Beverage,"Drink,Cold"
1292,Luncheon Meat Fries,Side,"Fingerfood,Pork"
215A,Pork Chop Noodle,Main,"Noodle,Pork"
215B,Pork Chop Bee Hoon,Main,"Noodle,Pork"
216B,Chicken Papaya Soup Beehoon,Main,"Noodlesoup,Chicken"
217B,Fish Papaya Soup Beehoon,Main,"Noodlesoup,Fish"
549N,Signature Fried Rice,Main,Fried Rice
751N,Iced Milk Tea,Beverage,"Drink,Cold"
759C,Coke,Beverage,"Drink,Cold"
759S,Sprite,Beverage,"Drink,Cold"
TAKEAWAY,TAKEAWAY,TAKEAWAY,TAKEAWAY
